developer-friendly name,VARIABLE NAME
title_iv.independ.died_by.4yrs,IND_DEATH_YR4_RT
title_iv.independ.completed_by.4yrs,IND_COMP_ORIG_YR4_RT
title_iv.independ.transf_completed_4yr_by.4yrs,IND_COMP_4YR_TRANS_YR4_RT
title_iv.independ.transf_completed_2yr_by.4yrs,IND_COMP_2YR_TRANS_YR4_RT
title_iv.independ.withdrawn_by.4yrs,IND_WDRAW_ORIG_YR4_RT
title_iv.independ.transf_withdrawn_4yr_by.4yrs,IND_WDRAW_4YR_TRANS_YR4_RT
title_iv.independ.transf_withdrawn_2yr_by.4yrs,IND_WDRAW_2YR_TRANS_YR4_RT
title_iv.independ.still_enrolled_by.4yrs,IND_ENRL_ORIG_YR4_RT
title_iv.independ.transf_still_enrolled_4yr_by.4yrs,IND_ENRL_4YR_TRANS_YR4_RT
title_iv.independ.transf_still_enrolled_2yr_by.4yrs,IND_ENRL_2YR_TRANS_YR4_RT
title_iv.independ.unknown_by.4yrs,IND_UNKN_ORIG_YR4_RT
title_iv.independ.transf_unknown_4yr_by.4yrs,IND_UNKN_4YR_TRANS_YR4_RT
title_iv.independ.transf_unknown_2yr_by.4yrs,IND_UNKN_2YR_TRANS_YR4_RT
title_iv.female.died_by.4yrs,FEMALE_DEATH_YR4_RT
title_iv.female.completed_by.4yrs,FEMALE_COMP_ORIG_YR4_RT
title_iv.female.transf_completed_4yr_by.4yrs,FEMALE_COMP_4YR_TRANS_YR4_RT
title_iv.female.transf_completed_2yr_by.4yrs,FEMALE_COMP_2YR_TRANS_YR4_RT
title_iv.female.withdrawn_by.4yrs,FEMALE_WDRAW_ORIG_YR4_RT
title_iv.female.transf_withdrawn_4yr_by.4yrs,FEMALE_WDRAW_4YR_TRANS_YR4_RT
title_iv.female.transf_withdrawn_2yr_by.4yrs,FEMALE_WDRAW_2YR_TRANS_YR4_RT
title_iv.female.still_enrolled_by.4yrs,FEMALE_ENRL_ORIG_YR4_RT
title_iv.female.transf_still_enrolled_4yr_by.4yrs,FEMALE_ENRL_4YR_TRANS_YR4_RT
title_iv.female.transf_still_enrolled_2yr_by.4yrs,FEMALE_ENRL_2YR_TRANS_YR4_RT
title_iv.female.unknown_by.4yrs,FEMALE_UNKN_ORIG_YR4_RT
title_iv.female.transf_unknown_4yr_by.4yrs,FEMALE_UNKN_4YR_TRANS_YR4_RT
title_iv.female.transf_unknown_2yr_by.4yrs,FEMALE_UNKN_2YR_TRANS_YR4_RT
title_iv.male.died_by.4yrs,MALE_DEATH_YR4_RT
title_iv.male.completed_by.4yrs,MALE_COMP_ORIG_YR4_RT
title_iv.male.transf_completed_4yr_by.4yrs,MALE_COMP_4YR_TRANS_YR4_RT
title_iv.male.transf_completed_2yr_by.4yrs,MALE_COMP_2YR_TRANS_YR4_RT
title_iv.male.withdrawn_by.4yrs,MALE_WDRAW_ORIG_YR4_RT
title_iv.male.transf_withdrawn_4yr_by.4yrs,MALE_WDRAW_4YR_TRANS_YR4_RT
title_iv.male.transf_withdrawn_2yr_by.4yrs,MALE_WDRAW_2YR_TRANS_YR4_RT
title_iv.male.still_enrolled_by.4yrs,MALE_ENRL_ORIG_YR4_RT
title_iv.male.transf_still_enrolled_4yr_by.4yrs,MALE_ENRL_4YR_TRANS_YR4_RT
title_iv.male.transf_still_enrolled_2yr_by.4yrs,MALE_ENRL_2YR_TRANS_YR4_RT
title_iv.male.unknown_by.4yrs,MALE_UNKN_ORIG_YR4_RT
title_iv.male.transf_unknown_4yr_by.4yrs,MALE_UNKN_4YR_TRANS_YR4_RT
title_iv.male.transf_unknown_2yr_by.4yrs,MALE_UNKN_2YR_TRANS_YR4_RT
title_iv.pell_recip.died_by.4yrs,PELL_DEATH_YR4_RT
title_iv.pell_recip.completed_by.4yrs,PELL_COMP_ORIG_YR4_RT
title_iv.pell_recip.transf_completed_4yr_by.4yrs,PELL_COMP_4YR_TRANS_YR4_RT
title_iv.pell_recip.transf_completed_2yr_by.4yrs,PELL_COMP_2YR_TRANS_YR4_RT
title_iv.pell_recip.withdrawn_by.4yrs,PELL_WDRAW_ORIG_YR4_RT
title_iv.pell_recip.transf_withdrawn_4yr_by.4yrs,PELL_WDRAW_4YR_TRANS_YR4_RT
title_iv.pell_recip.transf_withdrawn_2yr_by.4yrs,PELL_WDRAW_2YR_TRANS_YR4_RT
title_iv.pell_recip.still_enrolled_by.4yrs,PELL_ENRL_ORIG_YR4_RT
title_iv.pell_recip.transf_still_enrolled_4yr_by.4yrs,PELL_ENRL_4YR_TRANS_YR4_RT
title_iv.pell_recip.transf_still_enrolled_2yr_by.4yrs,PELL_ENRL_2YR_TRANS_YR4_RT
title_iv.pell_recip.unknown_by.4yrs,PELL_UNKN_ORIG_YR4_RT
title_iv.pell_recip.transf_unknown_4yr_by.4yrs,PELL_UNKN_4YR_TRANS_YR4_RT
title_iv.pell_recip.transf_unknown_2yr_by.4yrs,PELL_UNKN_2YR_TRANS_YR4_RT
title_iv.no_pell.died_by.4yrs,NOPELL_DEATH_YR4_RT
title_iv.no_pell.completed_by.4yrs,NOPELL_COMP_ORIG_YR4_RT
title_iv.no_pell.transf_completed_4yr_by.4yrs,NOPELL_COMP_4YR_TRANS_YR4_RT
title_iv.no_pell.transf_completed_2yr_by.4yrs,NOPELL_COMP_2YR_TRANS_YR4_RT
title_iv.no_pell.withdrawn_by.4yrs,NOPELL_WDRAW_ORIG_YR4_RT
title_iv.no_pell.transf_withdrawn_4yr_by.4yrs,NOPELL_WDRAW_4YR_TRANS_YR4_RT
title_iv.no_pell.transf_withdrawn_2yr_by.4yrs,NOPELL_WDRAW_2YR_TRANS_YR4_RT
title_iv.no_pell.still_enrolled_by.4yrs,NOPELL_ENRL_ORIG_YR4_RT
title_iv.no_pell.transf_still_enrolled_4yr_by.4yrs,NOPELL_ENRL_4YR_TRANS_YR4_RT
title_iv.no_pell.transf_still_enrolled_2yr_by.4yrs,NOPELL_ENRL_2YR_TRANS_YR4_RT
title_iv.no_pell.unknown_by.4yrs,NOPELL_UNKN_ORIG_YR4_RT
title_iv.no_pell.transf_unknown_4yr_by.4yrs,NOPELL_UNKN_4YR_TRANS_YR4_RT
title_iv.no_pell.transf_unknown_2yr_by.4yrs,NOPELL_UNKN_2YR_TRANS_YR4_RT
title_iv.loan_recip.died_by.4yrs,LOAN_DEATH_YR4_RT
title_iv.loan_recip.completed_by.4yrs,LOAN_COMP_ORIG_YR4_RT
title_iv.loan_recip.transf_completed_4yr_by.4yrs,LOAN_COMP_4YR_TRANS_YR4_RT
title_iv.loan_recip.transf_completed_2yr_by.4yrs,LOAN_COMP_2YR_TRANS_YR4_RT
title_iv.loan_recip.withdrawn_by.4yrs,LOAN_WDRAW_ORIG_YR4_RT
title_iv.loan_recip.transf_withdrawn_4yr_by.4yrs,LOAN_WDRAW_4YR_TRANS_YR4_RT
title_iv.loan_recip.transf_withdrawn_2yr_by.4yrs,LOAN_WDRAW_2YR_TRANS_YR4_RT
title_iv.loan_recip.still_enrolled_by.4yrs,LOAN_ENRL_ORIG_YR4_RT
title_iv.loan_recip.transf_still_enrolled_4yr_by.4yrs,LOAN_ENRL_4YR_TRANS_YR4_RT
title_iv.loan_recip.transf_still_enrolled_2yr_by.4yrs,LOAN_ENRL_2YR_TRANS_YR4_RT
title_iv.loan_recip.unknown_by.4yrs,LOAN_UNKN_ORIG_YR4_RT
title_iv.loan_recip.transf_unknown_4yr_by.4yrs,LOAN_UNKN_4YR_TRANS_YR4_RT
title_iv.loan_recip.transf_unknown_2yr_by.4yrs,LOAN_UNKN_2YR_TRANS_YR4_RT
title_iv.no_loan.died_by.4yrs,NOLOAN_DEATH_YR4_RT
title_iv.no_loan.completed_by.4yrs,NOLOAN_COMP_ORIG_YR4_RT
title_iv.no_loan.transf_completed_4yr_by.4yrs,NOLOAN_COMP_4YR_TRANS_YR4_RT
title_iv.no_loan.transf_completed_2yr_by.4yrs,NOLOAN_COMP_2YR_TRANS_YR4_RT
title_iv.no_loan.withdrawn_by.4yrs,NOLOAN_WDRAW_ORIG_YR4_RT
title_iv.no_loan.transf_withdrawn_4yr_by.4yrs,NOLOAN_WDRAW_4YR_TRANS_YR4_RT
title_iv.no_loan.transf_withdrawn_2yr_by.4yrs,NOLOAN_WDRAW_2YR_TRANS_YR4_RT
title_iv.no_loan.still_enrolled_by.4yrs,NOLOAN_ENRL_ORIG_YR4_RT
title_iv.no_loan.transf_still_enrolled_4yr_by.4yrs,NOLOAN_ENRL_4YR_TRANS_YR4_RT
title_iv.no_loan.transf_still_enrolled_2yr_by.4yrs,NOLOAN_ENRL_2YR_TRANS_YR4_RT
title_iv.no_loan.unknown_by.4yrs,NOLOAN_UNKN_ORIG_YR4_RT
title_iv.no_loan.transf_unknown_4yr_by.4yrs,NOLOAN_UNKN_4YR_TRANS_YR4_RT
title_iv.no_loan.transf_unknown_2yr_by.4yrs,NOLOAN_UNKN_2YR_TRANS_YR4_RT
title_iv.first_gen.died_by.4yrs,FIRSTGEN_DEATH_YR4_RT
title_iv.first_gen.completed_by.4yrs,FIRSTGEN_COMP_ORIG_YR4_RT
title_iv.first_gen.transf_completed_4yr_by.4yrs,FIRSTGEN_COMP_4YR_TRANS_YR4_RT
title_iv.first_gen.transf_completed_2yr_by.4yrs,FIRSTGEN_COMP_2YR_TRANS_YR4_RT
title_iv.first_gen.withdrawn_by.4yrs,FIRSTGEN_WDRAW_ORIG_YR4_RT
title_iv.first_gen.transf_withdrawn_4yr_by.4yrs,FIRSTGEN_WDRAW_4YR_TRANS_YR4_RT
title_iv.first_gen.transf_withdrawn_2yr_by.4yrs,FIRSTGEN_WDRAW_2YR_TRANS_YR4_RT
title_iv.first_gen.still_enrolled_by.4yrs,FIRSTGEN_ENRL_ORIG_YR4_RT
title_iv.first_gen.transf_still_enrolled_4yr_by.4yrs,FIRSTGEN_ENRL_4YR_TRANS_YR4_RT
title_iv.first_gen.transf_still_enrolled_2yr_by.4yrs,FIRSTGEN_ENRL_2YR_TRANS_YR4_RT
title_iv.first_gen.unknown_by.4yrs,FIRSTGEN_UNKN_ORIG_YR4_RT
title_iv.first_gen.transf_unknown_4yr_by.4yrs,FIRSTGEN_UNKN_4YR_TRANS_YR4_RT
title_iv.first_gen.transf_unknown_2yr_by.4yrs,FIRSTGEN_UNKN_2YR_TRANS_YR4_RT
title_iv.not_first_gen.died_by.4yrs,NOT1STGEN_DEATH_YR4_RT
title_iv.not_first_gen.completed_by.4yrs,NOT1STGEN_COMP_ORIG_YR4_RT
title_iv.not_first_gen.transf_completed_4yr_by.4yrs,NOT1STGEN_COMP_4YR_TRANS_YR4_RT
title_iv.not_first_gen.transf_completed_2yr_by.4yrs,NOT1STGEN_COMP_2YR_TRANS_YR4_RT
title_iv.not_first_gen.withdrawn_by.4yrs,NOT1STGEN_WDRAW_ORIG_YR4_RT
title_iv.not_first_gen.transf_withdrawn_4yr_by.4yrs,NOT1STGEN_WDRAW_4YR_TRANS_YR4_RT
title_iv.not_first_gen.transf_withdrawn_2yr_by.4yrs,NOT1STGEN_WDRAW_2YR_TRANS_YR4_RT
title_iv.not_first_gen.still_enrolled_by.4yrs,NOT1STGEN_ENRL_ORIG_YR4_RT
title_iv.not_first_gen.transf_still_enrolled_4yr_by.4yrs,NOT1STGEN_ENRL_4YR_TRANS_YR4_RT
title_iv.not_first_gen.transf_still_enrolled_2yr_by.4yrs,NOT1STGEN_ENRL_2YR_TRANS_YR4_RT
title_iv.not_first_gen.unknown_by.4yrs,NOT1STGEN_UNKN_ORIG_YR4_RT
title_iv.not_first_gen.transf_unknown_4yr_by.4yrs,NOT1STGEN_UNKN_4YR_TRANS_YR4_RT
title_iv.not_first_gen.transf_unknown_2yr_by.4yrs,NOT1STGEN_UNKN_2YR_TRANS_YR4_RT
title_iv.died_by.6yrs,DEATH_YR6_RT
title_iv.completed_by.6yrs,COMP_ORIG_YR6_RT
title_iv.transf_completed_4yr_by.6yrs,COMP_4YR_TRANS_YR6_RT
title_iv.transf_completed_2yr_by.6yrs,COMP_2YR_TRANS_YR6_RT
title_iv.withdrawn_by.6yrs,WDRAW_ORIG_YR6_RT
title_iv.transf_withdrawn_4yr_by.6yrs,WDRAW_4YR_TRANS_YR6_RT
title_iv.transf_withdrawn_2yr_by.6yrs,WDRAW_2YR_TRANS_YR6_RT
title_iv.still_enrolled_by.6yrs,ENRL_ORIG_YR6_RT
title_iv.transf_still_enrolled_4yr_by.6yrs,ENRL_4YR_TRANS_YR6_RT
title_iv.transf_still_enrolled_2yr_by.6yrs,ENRL_2YR_TRANS_YR6_RT
title_iv.unknown_by.6yrs,UNKN_ORIG_YR6_RT
title_iv.transf_unknown_4yr_by.6yrs,UNKN_4YR_TRANS_YR6_RT
title_iv.transf_unknown_2yr_by.6yrs,UNKN_2YR_TRANS_YR6_RT
title_iv.low_inc.died_by.6yrs,LO_INC_DEATH_YR6_RT
title_iv.low_inc.completed_by.6yrs,LO_INC_COMP_ORIG_YR6_RT
title_iv.low_inc.transf_completed_4yr_by.6yrs,LO_INC_COMP_4YR_TRANS_YR6_RT
title_iv.low_inc.transf_completed_2yr_by.6yrs,LO_INC_COMP_2YR_TRANS_YR6_RT
title_iv.low_inc.withdrawn_by.6yrs,LO_INC_WDRAW_ORIG_YR6_RT
title_iv.low_inc.transf_withdrawn_4yr_by.6yrs,LO_INC_WDRAW_4YR_TRANS_YR6_RT
title_iv.low_inc.transf_withdrawn_2yr_by.6yrs,LO_INC_WDRAW_2YR_TRANS_YR6_RT
title_iv.low_inc.still_enrolled_by.6yrs,LO_INC_ENRL_ORIG_YR6_RT
title_iv.low_inc.transf_still_enrolled_4yr_by.6yrs,LO_INC_ENRL_4YR_TRANS_YR6_RT
title_iv.low_inc.transf_still_enrolled_2yr_by.6yrs,LO_INC_ENRL_2YR_TRANS_YR6_RT
title_iv.low_inc.unknown_by.6yrs,LO_INC_UNKN_ORIG_YR6_RT
title_iv.low_inc.transf_unknown_4yr_by.6yrs,LO_INC_UNKN_4YR_TRANS_YR6_RT
title_iv.low_inc.transf_unknown_2yr_by.6yrs,LO_INC_UNKN_2YR_TRANS_YR6_RT
title_iv.mid_inc.died_by.6yrs,MD_INC_DEATH_YR6_RT
title_iv.mid_inc.completed_by.6yrs,MD_INC_COMP_ORIG_YR6_RT
title_iv.mid_inc.transf_completed_4yr_by.6yrs,MD_INC_COMP_4YR_TRANS_YR6_RT
title_iv.mid_inc.transf_completed_2yr_by.6yrs,MD_INC_COMP_2YR_TRANS_YR6_RT
title_iv.mid_inc.withdrawn_by.6yrs,MD_INC_WDRAW_ORIG_YR6_RT
title_iv.mid_inc.transf_withdrawn_4yr_by.6yrs,MD_INC_WDRAW_4YR_TRANS_YR6_RT
title_iv.mid_inc.transf_withdrawn_2yr_by.6yrs,MD_INC_WDRAW_2YR_TRANS_YR6_RT
title_iv.mid_inc.still_enrolled_by.6yrs,MD_INC_ENRL_ORIG_YR6_RT
title_iv.mid_inc.transf_still_enrolled_4yr_by.6yrs,MD_INC_ENRL_4YR_TRANS_YR6_RT
title_iv.mid_inc.transf_still_enrolled_2yr_by.6yrs,MD_INC_ENRL_2YR_TRANS_YR6_RT
title_iv.mid_inc.unknown_by.6yrs,MD_INC_UNKN_ORIG_YR6_RT
title_iv.mid_inc.transf_unknown_4yr_by.6yrs,MD_INC_UNKN_4YR_TRANS_YR6_RT
title_iv.mid_inc.transf_unknown_2yr_by.6yrs,MD_INC_UNKN_2YR_TRANS_YR6_RT
title_iv.high_inc.died_by.6yrs,HI_INC_DEATH_YR6_RT
title_iv.high_inc.completed_by.6yrs,HI_INC_COMP_ORIG_YR6_RT
title_iv.high_inc.transf_completed_4yr_by.6yrs,HI_INC_COMP_4YR_TRANS_YR6_RT
title_iv.high_inc.transf_completed_2yr_by.6yrs,HI_INC_COMP_2YR_TRANS_YR6_RT
title_iv.high_inc.withdrawn_by.6yrs,HI_INC_WDRAW_ORIG_YR6_RT
title_iv.high_inc.transf_withdrawn_4yr_by.6yrs,HI_INC_WDRAW_4YR_TRANS_YR6_RT
title_iv.high_inc.transf_withdrawn_2yr_by.6yrs,HI_INC_WDRAW_2YR_TRANS_YR6_RT
title_iv.high_inc.still_enrolled_by.6yrs,HI_INC_ENRL_ORIG_YR6_RT
title_iv.high_inc.transf_still_enrolled_4yr_by.6yrs,HI_INC_ENRL_4YR_TRANS_YR6_RT
title_iv.high_inc.transf_still_enrolled_2yr_by.6yrs,HI_INC_ENRL_2YR_TRANS_YR6_RT
title_iv.high_inc.unknown_by.6yrs,HI_INC_UNKN_ORIG_YR6_RT
title_iv.high_inc.transf_unknown_4yr_by.6yrs,HI_INC_UNKN_4YR_TRANS_YR6_RT
title_iv.high_inc.transf_unknown_2yr_by.6yrs,HI_INC_UNKN_2YR_TRANS_YR6_RT
title_iv.depend.died_by.6yrs,DEP_DEATH_YR6_RT
title_iv.depend.completed_by.6yrs,DEP_COMP_ORIG_YR6_RT
title_iv.depend.transf_completed_4yr_by.6yrs,DEP_COMP_4YR_TRANS_YR6_RT
title_iv.depend.transf_completed_2yr_by.6yrs,DEP_COMP_2YR_TRANS_YR6_RT
title_iv.depend.withdrawn_by.6yrs,DEP_WDRAW_ORIG_YR6_RT
title_iv.depend.transf_withdrawn_4yr_by.6yrs,DEP_WDRAW_4YR_TRANS_YR6_RT
title_iv.depend.transf_withdrawn_2yr_by.6yrs,DEP_WDRAW_2YR_TRANS_YR6_RT
title_iv.depend.still_enrolled_by.6yrs,DEP_ENRL_ORIG_YR6_RT
title_iv.depend.transf_still_enrolled_4yr_by.6yrs,DEP_ENRL_4YR_TRANS_YR6_RT
title_iv.depend.transf_still_enrolled_2yr_by.6yrs,DEP_ENRL_2YR_TRANS_YR6_RT
title_iv.depend.unknown_by.6yrs,DEP_UNKN_ORIG_YR6_RT
title_iv.depend.transf_unknown_4yr_by.6yrs,DEP_UNKN_4YR_TRANS_YR6_RT
title_iv.depend.transf_unknown_2yr_by.6yrs,DEP_UNKN_2YR_TRANS_YR6_RT
title_iv.independ.died_by.6yrs,IND_DEATH_YR6_RT
title_iv.independ.completed_by.6yrs,IND_COMP_ORIG_YR6_RT
title_iv.independ.transf_completed_4yr_by.6yrs,IND_COMP_4YR_TRANS_YR6_RT
title_iv.independ.transf_completed_2yr_by.6yrs,IND_COMP_2YR_TRANS_YR6_RT
title_iv.independ.withdrawn_by.6yrs,IND_WDRAW_ORIG_YR6_RT
title_iv.independ.transf_withdrawn_4yr_by.6yrs,IND_WDRAW_4YR_TRANS_YR6_RT
title_iv.independ.transf_withdrawn_2yr_by.6yrs,IND_WDRAW_2YR_TRANS_YR6_RT
title_iv.independ.still_enrolled_by.6yrs,IND_ENRL_ORIG_YR6_RT
title_iv.independ.transf_still_enrolled_4yr_by.6yrs,IND_ENRL_4YR_TRANS_YR6_RT
title_iv.independ.transf_still_enrolled_2yr_by.6yrs,IND_ENRL_2YR_TRANS_YR6_RT
title_iv.independ.unknown_by.6yrs,IND_UNKN_ORIG_YR6_RT
title_iv.independ.transf_unknown_4yr_by.6yrs,IND_UNKN_4YR_TRANS_YR6_RT
title_iv.independ.transf_unknown_2yr_by.6yrs,IND_UNKN_2YR_TRANS_YR6_RT
title_iv.female.died_by.6yrs,FEMALE_DEATH_YR6_RT
title_iv.female.completed_by.6yrs,FEMALE_COMP_ORIG_YR6_RT
title_iv.female.transf_completed_4yr_by.6yrs,FEMALE_COMP_4YR_TRANS_YR6_RT
title_iv.female.transf_completed_2yr_by.6yrs,FEMALE_COMP_2YR_TRANS_YR6_RT
title_iv.female.withdrawn_by.6yrs,FEMALE_WDRAW_ORIG_YR6_RT
title_iv.female.transf_withdrawn_4yr_by.6yrs,FEMALE_WDRAW_4YR_TRANS_YR6_RT
title_iv.female.transf_withdrawn_2yr_by.6yrs,FEMALE_WDRAW_2YR_TRANS_YR6_RT
title_iv.female.still_enrolled_by.6yrs,FEMALE_ENRL_ORIG_YR6_RT
title_iv.female.transf_still_enrolled_4yr_by.6yrs,FEMALE_ENRL_4YR_TRANS_YR6_RT
title_iv.female.transf_still_enrolled_2yr_by.6yrs,FEMALE_ENRL_2YR_TRANS_YR6_RT
title_iv.female.unknown_by.6yrs,FEMALE_UNKN_ORIG_YR6_RT
title_iv.female.transf_unknown_4yr_by.6yrs,FEMALE_UNKN_4YR_TRANS_YR6_RT
title_iv.female.transf_unknown_2yr_by.6yrs,FEMALE_UNKN_2YR_TRANS_YR6_RT
title_iv.male.died_by.6yrs,MALE_DEATH_YR6_RT
title_iv.male.completed_by.6yrs,MALE_COMP_ORIG_YR6_RT
title_iv.male.transf_completed_4yr_by.6yrs,MALE_COMP_4YR_TRANS_YR6_RT
title_iv.male.transf_completed_2yr_by.6yrs,MALE_COMP_2YR_TRANS_YR6_RT
title_iv.male.withdrawn_by.6yrs,MALE_WDRAW_ORIG_YR6_RT
title_iv.male.transf_withdrawn_4yr_by.6yrs,MALE_WDRAW_4YR_TRANS_YR6_RT
title_iv.male.transf_withdrawn_2yr_by.6yrs,MALE_WDRAW_2YR_TRANS_YR6_RT
title_iv.male.still_enrolled_by.6yrs,MALE_ENRL_ORIG_YR6_RT
title_iv.male.transf_still_enrolled_4yr_by.6yrs,MALE_ENRL_4YR_TRANS_YR6_RT
title_iv.male.transf_still_enrolled_2yr_by.6yrs,MALE_ENRL_2YR_TRANS_YR6_RT
title_iv.male.unknown_by.6yrs,MALE_UNKN_ORIG_YR6_RT
title_iv.male.transf_unknown_4yr_by.6yrs,MALE_UNKN_4YR_TRANS_YR6_RT
title_iv.male.transf_unknown_2yr_by.6yrs,MALE_UNKN_2YR_TRANS_YR6_RT
title_iv.pell_recip.died_by.6yrs,PELL_DEATH_YR6_RT
title_iv.pell_recip.completed_by.6yrs,PELL_COMP_ORIG_YR6_RT
title_iv.pell_recip.transf_completed_4yr_by.6yrs,PELL_COMP_4YR_TRANS_YR6_RT
title_iv.pell_recip.transf_completed_2yr_by.6yrs,PELL_COMP_2YR_TRANS_YR6_RT
title_iv.pell_recip.withdrawn_by.6yrs,PELL_WDRAW_ORIG_YR6_RT
title_iv.pell_recip.transf_withdrawn_4yr_by.6yrs,PELL_WDRAW_4YR_TRANS_YR6_RT
title_iv.pell_recip.transf_withdrawn_2yr_by.6yrs,PELL_WDRAW_2YR_TRANS_YR6_RT
title_iv.pell_recip.still_enrolled_by.6yrs,PELL_ENRL_ORIG_YR6_RT
title_iv.pell_recip.transf_still_enrolled_4yr_by.6yrs,PELL_ENRL_4YR_TRANS_YR6_RT
title_iv.pell_recip.transf_still_enrolled_2yr_by.6yrs,PELL_ENRL_2YR_TRANS_YR6_RT
title_iv.pell_recip.unknown_by.6yrs,PELL_UNKN_ORIG_YR6_RT
title_iv.pell_recip.transf_unknown_4yr_by.6yrs,PELL_UNKN_4YR_TRANS_YR6_RT
title_iv.pell_recip.transf_unknown_2yr_by.6yrs,PELL_UNKN_2YR_TRANS_YR6_RT
title_iv.no_pell.died_by.6yrs,NOPELL_DEATH_YR6_RT
title_iv.no_pell.completed_by.6yrs,NOPELL_COMP_ORIG_YR6_RT
title_iv.no_pell.transf_completed_4yr_by.6yrs,NOPELL_COMP_4YR_TRANS_YR6_RT
title_iv.no_pell.transf_completed_2yr_by.6yrs,NOPELL_COMP_2YR_TRANS_YR6_RT
title_iv.no_pell.withdrawn_by.6yrs,NOPELL_WDRAW_ORIG_YR6_RT
title_iv.no_pell.transf_withdrawn_4yr_by.6yrs,NOPELL_WDRAW_4YR_TRANS_YR6_RT
title_iv.no_pell.transf_withdrawn_2yr_by.6yrs,NOPELL_WDRAW_2YR_TRANS_YR6_RT
title_iv.no_pell.still_enrolled_by.6yrs,NOPELL_ENRL_ORIG_YR6_RT
title_iv.no_pell.transf_still_enrolled_4yr_by.6yrs,NOPELL_ENRL_4YR_TRANS_YR6_RT
title_iv.no_pell.transf_still_enrolled_2yr_by.6yrs,NOPELL_ENRL_2YR_TRANS_YR6_RT
title_iv.no_pell.unknown_by.6yrs,NOPELL_UNKN_ORIG_YR6_RT
title_iv.no_pell.transf_unknown_4yr_by.6yrs,NOPELL_UNKN_4YR_TRANS_YR6_RT
title_iv.no_pell.transf_unknown_2yr_by.6yrs,NOPELL_UNKN_2YR_TRANS_YR6_RT
title_iv.loan_recip.died_by.6yrs,LOAN_DEATH_YR6_RT
title_iv.loan_recip.completed_by.6yrs,LOAN_COMP_ORIG_YR6_RT
title_iv.loan_recip.transf_completed_4yr_by.6yrs,LOAN_COMP_4YR_TRANS_YR6_RT
title_iv.loan_recip.transf_completed_2yr_by.6yrs,LOAN_COMP_2YR_TRANS_YR6_RT
title_iv.loan_recip.withdrawn_by.6yrs,LOAN_WDRAW_ORIG_YR6_RT
title_iv.loan_recip.transf_withdrawn_4yr_by.6yrs,LOAN_WDRAW_4YR_TRANS_YR6_RT
title_iv.loan_recip.transf_withdrawn_2yr_by.6yrs,LOAN_WDRAW_2YR_TRANS_YR6_RT
title_iv.loan_recip.still_enrolled_by.6yrs,LOAN_ENRL_ORIG_YR6_RT
title_iv.loan_recip.transf_still_enrolled_4yr_by.6yrs,LOAN_ENRL_4YR_TRANS_YR6_RT
title_iv.loan_recip.transf_still_enrolled_2yr_by.6yrs,LOAN_ENRL_2YR_TRANS_YR6_RT
title_iv.loan_recip.unknown_by.6yrs,LOAN_UNKN_ORIG_YR6_RT
title_iv.loan_recip.transf_unknown_4yr_by.6yrs,LOAN_UNKN_4YR_TRANS_YR6_RT
title_iv.loan_recip.transf_unknown_2yr_by.6yrs,LOAN_UNKN_2YR_TRANS_YR6_RT
title_iv.no_loan.died_by.6yrs,NOLOAN_DEATH_YR6_RT
title_iv.no_loan.completed_by.6yrs,NOLOAN_COMP_ORIG_YR6_RT
title_iv.no_loan.transf_completed_4yr_by.6yrs,NOLOAN_COMP_4YR_TRANS_YR6_RT
title_iv.no_loan.transf_completed_2yr_by.6yrs,NOLOAN_COMP_2YR_TRANS_YR6_RT
title_iv.no_loan.withdrawn_by.6yrs,NOLOAN_WDRAW_ORIG_YR6_RT
title_iv.no_loan.transf_withdrawn_4yr_by.6yrs,NOLOAN_WDRAW_4YR_TRANS_YR6_RT
title_iv.no_loan.transf_withdrawn_2yr_by.6yrs,NOLOAN_WDRAW_2YR_TRANS_YR6_RT
title_iv.no_loan.still_enrolled_by.6yrs,NOLOAN_ENRL_ORIG_YR6_RT
title_iv.no_loan.transf_still_enrolled_4yr_by.6yrs,NOLOAN_ENRL_4YR_TRANS_YR6_RT
title_iv.no_loan.transf_still_enrolled_2yr_by.6yrs,NOLOAN_ENRL_2YR_TRANS_YR6_RT
title_iv.no_loan.unknown_by.6yrs,NOLOAN_UNKN_ORIG_YR6_RT
title_iv.no_loan.transf_unknown_4yr_by.6yrs,NOLOAN_UNKN_4YR_TRANS_YR6_RT
title_iv.no_loan.transf_unknown_2yr_by.6yrs,NOLOAN_UNKN_2YR_TRANS_YR6_RT
title_iv.first_gen.died_by.6yrs,FIRSTGEN_DEATH_YR6_RT
title_iv.first_gen.completed_by.6yrs,FIRSTGEN_COMP_ORIG_YR6_RT
title_iv.first_gen.transf_completed_4yr_by.6yrs,FIRSTGEN_COMP_4YR_TRANS_YR6_RT
title_iv.first_gen.transf_completed_2yr_by.6yrs,FIRSTGEN_COMP_2YR_TRANS_YR6_RT
title_iv.first_gen.withdrawn_by.6yrs,FIRSTGEN_WDRAW_ORIG_YR6_RT
title_iv.first_gen.transf_withdrawn_4yr_by.6yrs,FIRSTGEN_WDRAW_4YR_TRANS_YR6_RT
title_iv.first_gen.transf_withdrawn_2yr_by.6yrs,FIRSTGEN_WDRAW_2YR_TRANS_YR6_RT
title_iv.first_gen.still_enrolled_by.6yrs,FIRSTGEN_ENRL_ORIG_YR6_RT
